"Statistic","Year","Make and Model","UNIT","VALUE"
"New Private Cars Licensed for the First Time Rank","2020","BMW 6 Series","Number","203"
"New Private Cars Licensed for the First Time Rank","2020","BMW X3","Number","79"
"New Private Cars Licensed for the First Time Rank","2020","BMW M5","Number","198"
"New Private Cars Licensed for the First Time Rank","2020","BMW 8 Series","Number","149"
"New Private Cars Licensed for the First Time Rank","2020","BMW 3 Series","Number","34"
"New Private Cars Licensed for the First Time Rank","2020","BMW X1","Number","88"
"New Private Cars Licensed for the First Time Rank","2020","BMW 1 Series","Number","87"
"New Private Cars Licensed for the First Time Rank","2020","BMW 4 Series","Number","155"
"New Private Cars Licensed for the First Time Rank","2020","BMW i3","Number","133"
"New Private Cars Licensed for the First Time Rank","2020","BMW 2 Series","Number","111"
"New Private Cars Licensed for the First Time Rank","2020","BMW M4","Number","213"
"New Private Cars Licensed for the First Time Rank","2020","BMW X4","Number","174"
"New Private Cars Licensed for the First Time Rank","2020","BMW M2","Number","191"
"New Private Cars Licensed for the First Time Rank","2020","BMW X2","Number","169"
"New Private Cars Licensed for the First Time Rank","2020","BMW X7","Number","154"
"New Private Cars Licensed for the First Time Rank","2020","Citroen C3","Number","108"
"New Private Cars Licensed for the First Time Rank","2020","Citroen C4","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Citroen C1","Number","203"
"New Private Cars Licensed for the First Time Rank","2020","Citroen DS3","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Citroen C4 Cactus","Number","161"
"New Private Cars Licensed for the First Time Rank","2020","Citroen Grand C4 Spacetourer","Number","127"
"New Private Cars Licensed for the First Time Rank","2020","Citroen C3 Aircross","Number","130"
"New Private Cars Licensed for the First Time Rank","2020","Citroen C5 Aircross","Number","69"
"New Private Cars Licensed for the First Time Rank","2020","Dacia Sandero","Number","39"
"New Private Cars Licensed for the First Time Rank","2020","Dacia Duster","Number","18"
"New Private Cars Licensed for the First Time Rank","2020","Dacia Logan","Number","123"
"New Private Cars Licensed for the First Time Rank","2020","Fiat Punto","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Fiat Tipo","Number","158"
"New Private Cars Licensed for the First Time Rank","2020","Fiat 500","Number","112"
"New Private Cars Licensed for the First Time Rank","2020","Fiat Panda","Number","164"
